barcode	reads
fastq_runid_67a0761ea992f55d7000e748e88761780ca1bb60_0_0	4000
fastq_runid_67a0761ea992f55d7000e748e88761780ca1bb60_1_0	4000
fastq_runid_67a0761ea992f55d7000e748e88761780ca1bb60_2_0	4000
fastq_runid_67a0761ea992f55d7000e748e88761780ca1bb60_3_0	4000
fastq_runid_67a0761ea992f55d7000e748e88761780ca1bb60_4_0	4000
fastq_runid_67a0761ea992f55d7000e748e88761780ca1bb60_5_0	4000
