filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAL03879_67a0761e_1055.fast5	4e1c4bf9-17ab-4071-818a-253020bdad46	67a0761ea992f55d7000e748e88761780ca1bb60	0	128	2	63383.521500	5.711250	5711	TRUE	63383.562500	5670	5.670250	1802	8.546922	0.000000	84.841484	8.678983	84.022980	9.745331
FAL03879_67a0761e_1055.fast5	af8156bf-1d00-4e99-8296-7910edaa8d48	67a0761ea992f55d7000e748e88761780ca1bb60	0	216	1	63392.732000	3.555000	3555	TRUE	63392.836000	3451	3.451000	1113	7.172571	0.000000	87.852562	9.033227	83.605896	10.619185
FAL03879_67a0761e_1055.fast5	88375ab9-8fed-43db-92d1-b18ddb8d3f81	67a0761ea992f55d7000e748e88761780ca1bb60	0	103	1	63386.763500	7.476000	7476	FALSE	63386.823500	7416	7.416000	1772	4.570895	0.000000	70.494598	8.501861	75.558037	9.350105
FAL03879_67a0761e_1055.fast5	9a64e598-9e30-4e16-9ecf-4aca318334eb	67a0761ea992f55d7000e748e88761780ca1bb60	0	247	4	63342.125500	2.793500	2793	TRUE	63342.517500	2401	2.401500	865	10.173231	0.000000	83.778755	9.564593	81.598946	10.210599
FAL03879_67a0761e_1055.fast5	c684751a-1c09-4f95-aa4b-e9cbf55c6575	67a0761ea992f55d7000e748e88761780ca1bb60	0	85	3	63360.413750	4.957250	4957	TRUE	63360.596750	4774	4.774250	1649	10.997456	0.000000	74.568405	10.273082	77.705925	9.847244
FAL03879_67a0761e_1055.fast5	b0dcfe77-b0c3-476a-9bf2-bee29f779fbe	67a0761ea992f55d7000e748e88761780ca1bb60	0	306	3	63341.908000	9.388750	9388	FALSE	63341.951000	9345	9.345750	2106	5.448916	0.000000	76.162506	9.387471	81.385574	10.270376
FAL03879_67a0761e_1055.fast5	5f7179a7-43e1-4190-944d-0847ffa359d3	67a0761ea992f55d7000e748e88761780ca1bb60	0	171	4	63347.340500	9.947500	9947	TRUE	63347.345500	9942	9.942500	1717	10.580602	0.000000	85.727097	8.856105	85.695511	10.346038
FAL03879_67a0761e_1055.fast5	d4a7daec-8c53-49bb-9742-727ec98b7b31	67a0761ea992f55d7000e748e88761780ca1bb60	0	143	4	63388.388750	9.375750	9375	TRUE	63388.493750	9270	9.270750	1683	11.550042	0.000000	80.590553	9.210349	79.846840	9.831348
FAL03879_67a0761e_1055.fast5	5dada920-2748-4598-a4d9-187e470ef4a3	67a0761ea992f55d7000e748e88761780ca1bb60	0	92	4	63342.829500	5.309750	5309	TRUE	63342.895500	5243	5.243750	1606	10.598536	0.000000	86.258461	7.970495	82.882683	9.874862
FAL03879_67a0761e_1055.fast5	a9f8e3c2-9820-4c5c-86f3-ce2978a805bb	67a0761ea992f55d7000e748e88761780ca1bb60	0	88	1	63379.380750	4.980000	4980	TRUE	63379.525750	4835	4.835000	1605	7.509252	0.000000	74.922646	9.918838	77.497635	9.716206
