filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAL03879_67a0761e_11.fast5	b66cac15-447a-41aa-9f18-63d4b79f1be0	67a0761ea992f55d7000e748e88761780ca1bb60	0	362	4	627.044500	5.050500	5050	TRUE	627.122500	4972	4.972500	1630	11.085970	0.000000	80.590553	10.627326	82.168068	9.959556
FAL03879_67a0761e_11.fast5	eb18347b-d4d7-473f-9273-2324688274a7	67a0761ea992f55d7000e748e88761780ca1bb60	0	136	4	617.791250	1.655250	1655	FALSE	617.832250	1614	1.614250	534	5.753010	0.000000	83.247391	9.387471	80.879280	9.869184
FAL03879_67a0761e_11.fast5	9cec553a-cb0d-4429-8351-f80ee5a41ddc	67a0761ea992f55d7000e748e88761780ca1bb60	0	69	2	657.117500	3.544500	3544	TRUE	657.130500	3531	3.531500	1389	7.493286	0.000000	86.258461	9.564593	84.343033	10.521013
FAL03879_67a0761e_11.fast5	4fe2aeca-57c6-44ff-8565-dfab5455e923	67a0761ea992f55d7000e748e88761780ca1bb60	0	185	3	647.853250	2.963750	2963	TRUE	648.047250	2769	2.769750	1097	8.666539	0.000000	87.321198	10.450204	81.925117	10.177711
FAL03879_67a0761e_11.fast5	7f7411e5-e227-4bbf-a6ea-921714446d83	67a0761ea992f55d7000e748e88761780ca1bb60	0	122	2	654.991500	2.344250	2344	FALSE	655.526500	1809	1.809250	691	4.919012	0.000000	93.697594	9.033227	89.976875	11.881927
FAL03879_67a0761e_11.fast5	028d7c5b-66d3-49f4-bfb5-f6030b0992e8	67a0761ea992f55d7000e748e88761780ca1bb60	0	156	1	637.075250	4.406750	4406	TRUE	637.168250	4313	4.313750	1651	12.282795	0.000000	89.269539	8.678983	87.153038	10.276762
FAL03879_67a0761e_11.fast5	05a2a969-6dec-4adc-8930-e2af1dd7d1d4	67a0761ea992f55d7000e748e88761780ca1bb60	0	392	4	639.731250	4.866250	4866	TRUE	639.848250	4749	4.749250	1021	9.073500	0.000000	85.372856	8.324739	84.551735	10.172678
FAL03879_67a0761e_11.fast5	e11ba429-cfab-46cd-a3d9-f997abae7098	67a0761ea992f55d7000e748e88761780ca1bb60	0	425	3	622.918000	1.790250	1790	TRUE	622.947000	1761	1.761250	688	8.477974	0.000000	87.852562	10.273082	84.926147	10.116022
FAL03879_67a0761e_11.fast5	20b80c32-c160-4d17-b30a-627b41e28000	67a0761ea992f55d7000e748e88761780ca1bb60	0	327	1	612.871750	4.161000	4161	TRUE	613.316750	3716	3.716000	1653	8.030113	0.000000	86.081345	10.273082	87.844971	10.918708
FAL03879_67a0761e_11.fast5	ca814a52-1ab9-4154-9e89-5f0f2c56652a	67a0761ea992f55d7000e748e88761780ca1bb60	0	185	3	633.247250	0.826500	826	TRUE	633.303250	770	0.770500	282	12.733457	0.000000	85.018608	9.210349	84.191422	10.621399
FAL03879_67a0761e_11.fast5	8c29b074-d026-4c8b-a8dc-c7b9418fbc32	67a0761ea992f55d7000e748e88761780ca1bb60	0	294	2	632.913250	4.565000	4565	TRUE	632.950250	4528	4.528000	1574	11.348686	0.000000	78.110847	10.450204	80.259789	10.235619
FAL03879_67a0761e_11.fast5	8c04690f-1076-4dd1-8667-3cd8eb917a34	67a0761ea992f55d7000e748e88761780ca1bb60	0	495	3	654.569000	3.644250	3644	TRUE	654.713000	3500	3.500250	1620	8.708611	0.000000	81.121925	10.273082	81.637398	9.805285
FAL03879_67a0761e_11.fast5	ddf252be-6a07-4cde-96bc-6e4c6910ec54	67a0761ea992f55d7000e748e88761780ca1bb60	0	315	3	625.521000	3.356000	3356	TRUE	625.622000	3255	3.255000	1216	10.106114	0.000000	85.018608	10.273082	83.237785	10.657728
FAL03879_67a0761e_11.fast5	bb6e24c1-e812-40d7-a259-a966cb3a8503	67a0761ea992f55d7000e748e88761780ca1bb60	0	101	3	632.975250	4.072500	4072	TRUE	633.021250	4026	4.026500	1604	11.492978	0.000000	85.549973	8.856105	83.312363	10.222426
FAL03879_67a0761e_11.fast5	d4ccf5e6-8ee0-445d-ad52-bffb52611549	67a0761ea992f55d7000e748e88761780ca1bb60	0	201	1	643.663250	4.646250	4646	TRUE	643.900250	4409	4.409250	1624	9.596832	0.000000	119.557419	9.564593	118.750961	12.568893
FAL03879_67a0761e_11.fast5	ac12c9e9-ae4d-443b-ba57-bfd125aa9369	67a0761ea992f55d7000e748e88761780ca1bb60	0	170	4	621.653000	5.517250	5517	TRUE	621.877000	5293	5.293250	1609	11.510644	0.000000	82.007530	10.981570	84.152008	10.261768
FAL03879_67a0761e_11.fast5	db617129-92e0-43c0-8459-8a97166f886e	67a0761ea992f55d7000e748e88761780ca1bb60	0	500	1	632.722250	4.549750	4549	TRUE	632.741250	4530	4.530750	1598	10.918011	0.000000	88.206810	9.033227	85.946815	10.261656
FAL03879_67a0761e_11.fast5	2cb5189a-ba73-40ba-bb27-ef113d14b5cd	67a0761ea992f55d7000e748e88761780ca1bb60	0	481	1	638.450000	5.767000	5767	TRUE	638.603000	5614	5.614000	1112	9.284032	0.000000	91.217880	9.741715	90.554672	10.920416
FAL03879_67a0761e_11.fast5	1d453a3b-c310-4aa7-bf18-8639ff036ca5	67a0761ea992f55d7000e748e88761780ca1bb60	0	245	1	611.827500	2.203000	2203	TRUE	611.917500	2113	2.113000	808	12.722242	0.000000	83.778755	9.741715	83.510513	10.017019
FAL03879_67a0761e_11.fast5	9677fa23-5ecb-4502-aacc-2fc5547390c8	67a0761ea992f55d7000e748e88761780ca1bb60	0	377	2	613.401750	1.685750	1685	FALSE	613.470750	1616	1.616750	730	6.405145	0.000000	89.269539	9.033227	86.775185	10.301605
FAL03879_67a0761e_11.fast5	e887f4f5-8f0a-4f72-9165-103e098cc97f	67a0761ea992f55d7000e748e88761780ca1bb60	0	263	1	613.285750	4.750500	4750	TRUE	613.437750	4598	4.598500	1624	10.378735	0.000000	85.018608	10.804448	87.845261	10.855089
FAL03879_67a0761e_11.fast5	a620704d-b276-4671-8dc3-3e265bc2de05	67a0761ea992f55d7000e748e88761780ca1bb60	0	114	4	651.262000	5.644750	5644	TRUE	651.605000	5301	5.301750	1658	11.868172	0.000000	83.955879	10.273082	85.297211	10.383045
FAL03879_67a0761e_11.fast5	89fb8cea-ba66-4b0b-a302-9e50ded8185d	67a0761ea992f55d7000e748e88761780ca1bb60	0	17	1	622.886750	2.636750	2636	TRUE	622.987750	2535	2.535750	1117	8.117417	0.000000	91.217880	10.095960	88.188744	10.373390
FAL03879_67a0761e_11.fast5	b1ef29ae-7934-43e2-a44a-d6eb3d8c9d6e	67a0761ea992f55d7000e748e88761780ca1bb60	0	206	3	653.246750	5.056500	5056	TRUE	653.409750	4893	4.893500	1637	11.018790	0.000000	80.590553	10.095960	80.891350	10.229107
FAL03879_67a0761e_11.fast5	2c58e3fa-2756-43fa-8286-c139c713a2ab	67a0761ea992f55d7000e748e88761780ca1bb60	0	328	3	615.769250	3.688500	3688	FALSE	616.032250	3425	3.425500	1617	5.799951	0.000000	79.882065	9.741715	81.305244	9.551827
